"date","close","volume","open","high","low"
"2009/10/16","32.5500","7308566.0000","32.1700","32.6000","32.1300"
"2009/10/15","32.4800","7323764.0000","32.3650","32.5050","32.0650"
"2009/10/14","32.4500","7289402.0000","32.0400","32.6150","31.9550"
"2009/10/13","31.8400","3531182.0000","31.6300","31.9250","31.5050"
"2009/10/12","31.6250","3091386.0000","31.9250","32.0000","31.6150"
"2009/10/09","31.7950","4434944.0000","32.0600","32.0950","31.5000"
"2009/10/08","32.0100","4673712.0000","31.8550","32.1800","31.7750"
"2009/10/07","31.7100","4378168.0000","31.4700","31.8625","31.4000"
"2009/10/06","31.5450","7302946.0000","31.4550","32.2100","31.4200"
"2009/10/05","31.3900","5936464.0000","30.9400","31.4600","30.8750"
"2009/10/02","31.0100","11283256.0000","30.7650","31.1950","30.5400"
"2009/10/01","31.2500","16464372.0000","32.0000","32.2000","31.2500"
"2009/09/30","32.3500","33550320.0000","32.0050","32.4750","32.0050"
"2009/09/29","30.0450","17063510.0000","29.6150","30.0950","29.5600"
"2009/09/28","29.5000","5037650.0000","29.3650","29.6550","29.2300"
"2009/09/25","29.3200","8743762.0000","29.1650","29.9250","29.1500"
"2009/09/24","29.0850","13108752.0000","29.1550","29.3700","28.9150"
"2009/09/23","29.1500","21785500.0000","29.4000","29.6250","29.1150"
"2009/09/22","29.2850","6187032.0000","29.4850","29.7500","29.2200"
"2009/09/21","29.2750","4733360.0000","29.0250","29.6850","28.8300"
"2009/09/18","29.2950","5762736.0000","29.1250","29.4400","28.9750"
"2009/09/17","29.0450","7381120.0000","28.5000","29.4050","28.4350"
"2009/09/16","28.5900","12123944.0000","27.3800","28.7250","27.2050"
"2009/09/15","27.3450","7406744.0000","27.3800","27.5000","26.9850"
"2009/09/14","27.4550","7142798.0000","27.2400","27.6100","26.7600"
"2009/09/11","27.4950","8684088.0000","27.7800","27.9450","27.3800"
"2009/09/10","27.7100","9326318.0000","27.6750","27.9000","27.4350"
"2009/09/09","27.6750","7992040.0000","27.4650","27.7400","27.2650"
"2009/09/08","27.6200","5790792.0000","27.3150","27.6300","27.1050"
"2009/09/04","27.1150","4841430.0000","26.9350","27.1900","26.7100"
"2009/09/03","26.8650","7038228.0000","26.7450","26.9500","26.6550"
"2009/09/02","26.6550","8752528.0000","27.0600","27.1650","26.6100"
"2009/09/01","27.1800","10071494.0000","27.4525","27.7600","27.0550"
"2009/08/31","27.6950","3662544.0000","27.9600","28.0000","27.5750"
"2009/08/28","28.0900","4285890.0000","28.5250","28.6900","27.9050"
"2009/08/27","28.4150","9517616.0000","27.7700","28.5650","27.4000"
"2009/08/26","27.7250","6675658.0000","27.6400","28.0000","27.4650"
"2009/08/25","27.5800","9145528.0000","28.1450","28.2350","27.5500"
"2009/08/24","28.0000","7612532.0000","27.8500","28.1250","27.7800"
"2009/08/21","27.8250","11270646.0000","27.9950","28.2500","27.6200"
"2009/08/20","28.5000","5951626.0000","28.4000","28.5700","28.1000"
"2009/08/19","28.3850","5634782.0000","27.5450","28.4625","27.5450"
"2009/08/18","27.8050","6653720.0000","27.7600","27.9250","27.5950"
"2009/08/17","27.7200","5473656.0000","28.0350","28.2300","27.5825"
"2009/08/14","28.4300","4562484.0000","28.8300","29.0000","28.1500"
"2009/08/13","28.9050","4188928.0000","28.6900","28.9150","28.4900"
"2009/08/12","28.7600","6090376.0000","28.3000","28.9500","28.2100"
"2009/08/11","28.3950","3807200.0000","28.4600","28.5450","28.0100"
"2009/08/10","28.5700","4771988.0000","28.9350","28.9350","28.3550"
"2009/08/07","29.0350","5724148.0000","28.9800","29.1350","28.5650"
"2009/08/06","28.8100","7279946.0000","28.6250","28.9000","28.4100"
"2009/08/05","28.5100","8166782.0000","28.7700","29.0850","28.3650"
"2009/08/04","28.7700","7409750.0000","28.2300","28.7850","28.0750"
"2009/08/03","28.3100","6750604.0000","28.4900","28.5400","28.1200"
"2009/07/31","28.3200","10898466.0000","27.8350","28.8850","27.7800"
"2009/07/30","28.0450","9988658.0000","27.4650","28.2650","27.2900"
"2009/07/29","27.1850","10579412.0000","26.2500","27.2500","26.1800"
"2009/07/28","26.4550","5276560.0000","25.9900","26.4700","25.7150"
"2009/07/27","26.1850","3135784.0000","26.1050","26.2000","25.8200"
"2009/07/24","26.0850","7355856.0000","25.5550","26.2125","25.2950"
"2009/07/23","25.5700","10755856.0000","25.7500","26.0400","25.5000"
"2009/07/22","25.7650","7150498.0000","26.0000","26.2150","25.7100"
"2009/07/21","26.0350","5491106.0000","26.7150","26.7200","25.8400"
"2009/07/20","26.4150","5322964.0000","26.2950","26.6200","26.0450"
"2009/07/17","26.2200","6550796.0000","26.5750","26.5750","25.9900"
"2009/07/16","26.5950","6676568.0000","26.3900","26.7400","26.0000"
"2009/07/15","26.4650","7761252.0000","26.1750","26.4950","25.6600"
"2009/07/14","25.9500","4006142.0000","25.7450","26.1450","25.6050"
"2009/07/13","25.7700","6231786.0000","25.7300","25.9548","25.4050"
"2009/07/10","25.6500","4718086.0000","25.3350","25.8950","25.3100"
"2009/07/09","25.5300","4264434.0000","25.9300","25.9300","25.3850"
"2009/07/08","25.7550","5204888.0000","25.4950","25.8550","25.3750"
"2009/07/07","25.6050","6092890.0000","25.8500","25.9250","25.4450"
"2009/07/06","25.9550","7439528.0000","25.3700","26.1500","25.3700"
"2009/07/02","25.5300","7662592.0000","25.8850","25.9150","25.5300"
"2009/07/01","26.2100","6177122.0000","26.0700","26.4950","25.6750"
"2009/06/30","25.8900","5850284.0000","25.9300","26.2400","25.6400"
"2009/06/29","25.8750","6910092.0000","25.5750","26.0800","25.4000"
"2009/06/26","25.4200","10679402.0000","25.3700","25.6850","25.2550"
"2009/06/25","25.6400","29778240.0000","25.3250","25.7850","25.0800"
